id,decision,family,candidate_or_source,evidence_type,source,status,external_answer,signalroom_applicability,resource_and_integration,contrary_evidence_or_limit,disposition
SR001,estimand,risk-control,current SignalRoom churn model,local artifact,README.md,established,"Predicts churn risk rather than intervention response","Retain as product and proposal contrast","Already integrated and tested","High risk can be futile for treatment targeting",retain-control
SR002,baseline,average-effect,current Hillstrom difference in means,local randomized benchmark,artifacts/real_data/benchmark.json,established,"Mens email increased two-week visits on average","Valid bounded intervention evidence","Already implemented","Does not prove individual targeting or retention",retain-control
SR003,estimator,meta-learner,current logistic T-learner,local randomized benchmark,signalroom/real_benchmark.py,established,"Transparent separate treated and control outcome models","Frozen software and technique control","Already integrated; low CPU cost","Qini and equal-capacity policy-gain intervals crossed zero",retain-control
SR004,survey,taxonomy,Gutierrez and Gerardy 2017,peer-reviewed review,https://proceedings.mlr.press/v67/gutierrez17a,established,"Uplift includes two-model class-transformation and direct-modeling approaches","Prevents meta-learner-only comparison","No integration","Older review; not a modern benchmark",adopt-taxonomy
SR005,benchmark,cross-stream,Rossler and Schoder 2022,systematic benchmark,https://journals.sagepub.com/doi/10.1177/10949968221111083,established,"Fifteen methods were volatile across 27 synthetic and six real datasets; no universal winner","Requires uplift and HTE candidates and regime reporting","External evidence only","Binary treatment/outcome and decile-Qini protocol limit generality",adopt-protocol
SR006,workflow,practical-guide,Practical HTE guide 2026,peer-reviewed guide,https://pmc.ncbi.nlm.nih.gov/articles/PMC13264450/,established,"Estimand honesty cross-fitting calibration overlap and transport are part of defensible HTE analysis","Directly shapes benchmark controls","No integration","Epidemiology framing does not select a marketing estimator",adopt-protocol
SR007,benchmark,objective-aware,UpliftBench 2026,preprint plus official repository,https://arxiv.org/abs/2608.00915,provisional,"Estimator rankings depend on data and objective; Qini may be weakly aligned with effect accuracy or sign-threshold policy","Strong first isolated harness candidate","Python 3.11 to 3.12 environment; about 2 GB excluding Criteo; reported core/full runs around 20/26 hours","Submitted 2026-08-02; single author; under review; capped Criteo conclusions",adopt-isolated-provisional
SR008,benchmark,critical-design,Curth et al 2021,paper,https://arxiv.org/abs/2107.13346,established,"IHDP and ACIC design choices can favor particular algorithms","Requires DGP-specific interpretation","External evidence only","Does not invalidate all semi-synthetic benchmarks",adopt-warning
SR009,estimator,meta-learner,S-learner,paper plus maintained implementations,https://www.pnas.org/doi/10.1073/pnas.1804597116,established,"Single outcome model is a low-complexity reduction","Matched-base-learner candidate","Use EconML or CausalML implementation","Can regularize treatment interactions away",admit-benchmark
SR010,estimator,meta-learner,X-learner,paper plus maintained implementations,https://www.pnas.org/doi/10.1073/pnas.1804597116,established,"Effect imputation and weighting can help under treatment imbalance","Relevant to Criteo and imbalanced stress","Use EconML or CausalML implementation","Not uniformly better under balanced arms",admit-benchmark
SR011,estimator,orthogonal,R-learner,paper,https://academic.oup.com/biomet/article-abstract/108/2/299/5911092,established,"Residualized loss separates nuisance estimation from CATE fitting","Distinct orthogonal profile","Use EconML NonParamDML or benchmark implementation","Performed poorly in one systematic benchmark; depends on nuisance quality",admit-benchmark
